username,review,rating,date,likes,sentiment,language,case_folding,cleaning,token,stopword,stemming,processed_text
Swiven Hc,"ini mah scam, mau deposit dlu sebelum bisa connect. kalau uda deposit terus ditolak ya sama aja cuma buang duit kalau gitu. GAK recommend!!.",1,2026-04-28 14:07:46,0,negatif,id,"ini mah scam, mau deposit dlu sebelum bisa connect. kalau uda deposit terus ditolak ya sama aja cuma buang duit kalau gitu. gak recommend!!.",ini mah scam mau deposit dlu sebelum bisa connect kalau uda deposit terus ditolak ya sama aja cuma buang duit kalau gitu gak recommend,"['ini', 'mah', 'scam', 'mau', 'deposit', 'dlu', 'sebelum', 'bisa', 'connect', 'kalau', 'uda', 'deposit', 'terus', 'ditolak', 'ya', 'sama', 'aja', 'cuma', 'buang', 'duit', 'kalau', 'gitu', 'gak', 'recommend']","['mah', 'scam', 'deposit', 'dlu', 'connect', 'uda', 'deposit', 'ditolak', 'ya', 'aja', 'buang', 'duit', 'gitu', 'gak', 'recommend']","['mah', 'scam', 'deposit', 'dlu', 'connect', 'uda', 'deposit', 'tolak', 'ya', 'aja', 'buang', 'duit', 'gitu', 'gak', 'recommend']",mah scam deposit dlu connect uda deposit tolak ya aja buang duit gitu gak recommend
Galang Erlangga,saya masih pemula dan saya yakin aplikasi ini propesional,5,2026-04-27 00:42:47,0,positif,id,saya masih pemula dan saya yakin aplikasi ini propesional,saya masih pemula dan saya yakin aplikasi ini propesional,"['saya', 'masih', 'pemula', 'dan', 'saya', 'yakin', 'aplikasi', 'ini', 'propesional']","['pemula', 'aplikasi', 'propesional']","['mula', 'aplikasi', 'propesional']",mula aplikasi propesional
Snb Project,very good for work,5,2026-04-26 23:05:18,0,positif,en,very good for work,very good for work,"['very', 'good', 'for', 'work']","['good', 'work']","['good', 'work']",good work
saskia Safta aulya,apa maksud dari code promo saya tidak bisa apply pekerjaan karna gak punya code promo,3,2026-04-25 02:00:35,0,netral,id,apa maksud dari code promo saya tidak bisa apply pekerjaan karna gak punya code promo,apa maksud dari code promo saya tidak bisa apply pekerjaan karna gak punya code promo,"['apa', 'maksud', 'dari', 'code', 'promo', 'saya', 'tidak', 'bisa', 'apply', 'pekerjaan', 'karna', 'gak', 'punya', 'code', 'promo']","['maksud', 'code', 'promo', 'apply', 'pekerjaan', 'karna', 'gak', 'code', 'promo']","['maksud', 'code', 'promo', 'apply', 'kerja', 'karna', 'gak', 'code', 'promo']",maksud code promo apply kerja karna gak code promo
LAILI FITRIYADI,good choice find job for your passion,5,2026-04-24 14:01:49,0,positif,en,good choice find job for your passion,good choice find job for your passion,"['good', 'choice', 'find', 'job', 'for', 'your', 'passion']","['good', 'choice', 'find', 'job', 'passion']","['good', 'choic', 'find', 'job', 'passion']",good choic find job passion
Ruud Suhendar,recommended,5,2026-04-21 10:33:44,0,positif,en,recommended,recommended,['recommended'],['recommended'],['recommend'],recommend
Arie Pramesta,Useful apps to find a remote job all around the world!,5,2026-04-21 08:10:03,0,positif,en,useful apps to find a remote job all around the world!,useful apps to find a remote job all around the world,"['useful', 'apps', 'to', 'find', 'a', 'remote', 'job', 'all', 'around', 'the', 'world']","['useful', 'apps', 'find', 'remote', 'job', 'around', 'world']","['use', 'app', 'find', 'remot', 'job', 'around', 'world']",use app find remot job around world
Papa Nanda,peluang cuan,5,2026-04-21 00:25:25,0,positif,id,peluang cuan,peluang cuan,"['peluang', 'cuan']","['peluang', 'cuan']","['peluang', 'cuan']",peluang cuan
Andre BWid,"sangat mrmbantu, tapi belum, pernah dapat job",5,2026-04-21 00:00:28,2,positif,id,"sangat mrmbantu, tapi belum, pernah dapat job",sangat mrmbantu tapi belum pernah dapat job,"['sangat', 'mrmbantu', 'tapi', 'belum', 'pernah', 'dapat', 'job']","['mrmbantu', 'job']","['mrmbantu', 'job']",mrmbantu job
ilektro shop,Best aplication freelancer,5,2026-04-16 18:04:09,0,positif,en,best aplication freelancer,best aplication freelancer,"['best', 'aplication', 'freelancer']","['best', 'aplication', 'freelancer']","['best', 'aplic', 'freelanc']",best aplic freelanc
icad funbee,bagus,5,2026-04-14 15:04:25,0,positif,id,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Rydha Arlini,lumayan buat cari uang tambahan,5,2026-04-12 03:41:28,1,positif,id,lumayan buat cari uang tambahan,lumayan buat cari uang tambahan,"['lumayan', 'buat', 'cari', 'uang', 'tambahan']","['lumayan', 'cari', 'uang', 'tambahan']","['lumayan', 'cari', 'uang', 'tambah']",lumayan cari uang tambah
Lidia Natalia,Great,5,2026-04-11 14:16:43,0,positif,en,great,great,['great'],['great'],['great'],great
Ali Febri,tidak ada bahasa Indonesia,4,2026-04-10 16:25:24,3,positif,id,tidak ada bahasa indonesia,tidak ada bahasa indonesia,"['tidak', 'ada', 'bahasa', 'indonesia']","['bahasa', 'indonesia']","['bahasa', 'indonesia']",bahasa indonesia
Arisk Satriyan,Overall is good.,5,2026-04-08 11:45:02,0,positif,en,overall is good.,overall is good,"['overall', 'is', 'good']","['overall', 'good']","['overal', 'good']",overal good
Ahmad Tirtayasa,good opportunity,5,2026-04-07 12:52:37,0,positif,en,good opportunity,good opportunity,"['good', 'opportunity']","['good', 'opportunity']","['good', 'opportun']",good opportun
Putri Sulfina,apa gak bisa pake bahasa Indonesia?,5,2026-04-04 10:21:46,4,positif,id,apa gak bisa pake bahasa indonesia?,apa gak bisa pake bahasa indonesia,"['apa', 'gak', 'bisa', 'pake', 'bahasa', 'indonesia']","['gak', 'pake', 'bahasa', 'indonesia']","['gak', 'pake', 'bahasa', 'indonesia']",gak pake bahasa indonesia
Fadli Adbamilah,"hahahah gua mau kerja karena butuh duit, ini pas mau nyari kerja malah dimintain duit suruh langganan jir lah🗿",1,2026-04-02 04:19:39,0,negatif,id,"hahahah gua mau kerja karena butuh duit, ini pas mau nyari kerja malah dimintain duit suruh langganan jir lah🗿",hahahah gua mau kerja karena butuh duit ini pas mau nyari kerja malah dimintain duit suruh langganan jir lah,"['hahahah', 'gua', 'mau', 'kerja', 'karena', 'butuh', 'duit', 'ini', 'pas', 'mau', 'nyari', 'kerja', 'malah', 'dimintain', 'duit', 'suruh', 'langganan', 'jir', 'lah']","['hahahah', 'gua', 'kerja', 'butuh', 'duit', 'pas', 'nyari', 'kerja', 'dimintain', 'duit', 'suruh', 'langganan', 'jir']","['hahahah', 'gua', 'kerja', 'butuh', 'duit', 'pas', 'nyari', 'kerja', 'dimintain', 'duit', 'suruh', 'langgan', 'jir']",hahahah gua kerja butuh duit pas nyari kerja dimintain duit suruh langgan jir
Berto Daeng,hanya ingin tahu apakah benar yang dikatakan orang lain 😊🤭,5,2026-04-02 02:44:42,0,positif,id,hanya ingin tahu apakah benar yang dikatakan orang lain 😊🤭,hanya ingin tahu apakah benar yang dikatakan orang lain,"['hanya', 'ingin', 'tahu', 'apakah', 'benar', 'yang', 'dikatakan', 'orang', 'lain']",['orang'],['orang'],orang
Pengguna Google,Up work aplikasi bagus buat berkreasi dan menghasilkan cuan yang banyak. Saya sangat puas.,5,2026-04-01 14:44:29,11,positif,id,up work aplikasi bagus buat berkreasi dan menghasilkan cuan yang banyak. saya sangat puas.,up work aplikasi bagus buat berkreasi dan menghasilkan cuan yang banyak saya sangat puas,"['up', 'work', 'aplikasi', 'bagus', 'buat', 'berkreasi', 'dan', 'menghasilkan', 'cuan', 'yang', 'banyak', 'saya', 'sangat', 'puas']","['up', 'work', 'aplikasi', 'bagus', 'berkreasi', 'menghasilkan', 'cuan', 'puas']","['up', 'work', 'aplikasi', 'bagus', 'kreasi', 'hasil', 'cuan', 'puas']",up work aplikasi bagus kreasi hasil cuan puas
MUTIARA,buruk,1,2026-04-01 02:40:12,0,negatif,id,buruk,buruk,['buruk'],['buruk'],['buruk'],buruk
Ahmed Syabani,keren nih aplikasi,5,2026-03-31 17:26:04,0,positif,id,keren nih aplikasi,keren nih aplikasi,"['keren', 'nih', 'aplikasi']","['keren', 'nih', 'aplikasi']","['keren', 'nih', 'aplikasi']",keren nih aplikasi
Aurel Mali loe,thank you,5,2026-03-31 15:51:12,0,positif,en,thank you,thank you,"['thank', 'you']",['thank'],['thank'],thank
Raven Kazuma,platform bagus cuman harus efforts buat pemula sama ini bisa gratis cuman efforts tinggi karna connets nya beli ya. good luck for Everyone,4,2026-03-28 10:51:46,5,positif,en,platform bagus cuman harus efforts buat pemula sama ini bisa gratis cuman efforts tinggi karna connets nya beli ya. good luck for everyone,platform bagus cuman harus efforts buat pemula sama ini bisa gratis cuman efforts tinggi karna connets nya beli ya good luck for everyone,"['platform', 'bagus', 'cuman', 'harus', 'efforts', 'buat', 'pemula', 'sama', 'ini', 'bisa', 'gratis', 'cuman', 'efforts', 'tinggi', 'karna', 'connets', 'nya', 'beli', 'ya', 'good', 'luck', 'for', 'everyone']","['platform', 'bagus', 'cuman', 'harus', 'efforts', 'buat', 'pemula', 'sama', 'ini', 'bisa', 'gratis', 'cuman', 'efforts', 'tinggi', 'karna', 'connets', 'nya', 'beli', 'ya', 'good', 'luck', 'everyone']","['platform', 'bagu', 'cuman', 'haru', 'effort', 'buat', 'pemula', 'sama', 'ini', 'bisa', 'grati', 'cuman', 'effort', 'tinggi', 'karna', 'connet', 'nya', 'beli', 'ya', 'good', 'luck', 'everyon']",platform bagu cuman haru effort buat pemula sama ini bisa grati cuman effort tinggi karna connet nya beli ya good luck everyon
Rahmat Bae,belum pernah,3,2026-03-21 05:19:49,0,netral,id,belum pernah,belum pernah,"['belum', 'pernah']",[],[],
massayuaulia0108,susah buat upload profil pas mau daftar,1,2026-03-20 01:41:33,0,negatif,id,susah buat upload profil pas mau daftar,susah buat upload profil pas mau daftar,"['susah', 'buat', 'upload', 'profil', 'pas', 'mau', 'daftar']","['susah', 'upload', 'profil', 'pas', 'daftar']","['susah', 'upload', 'profil', 'pas', 'daftar']",susah upload profil pas daftar
Server portugis,nyari kerja dipersusah mulu,1,2026-03-17 05:30:43,0,negatif,id,nyari kerja dipersusah mulu,nyari kerja dipersusah mulu,"['nyari', 'kerja', 'dipersusah', 'mulu']","['nyari', 'kerja', 'dipersusah', 'mulu']","['nyari', 'kerja', 'susah', 'mulu']",nyari kerja susah mulu
Faris Farid,"The application is good for finding jobs but there are some features missing such as English translation, because not everyone who wants to work can speak English fluently. But the application is very helpful.",4,2026-03-16 03:32:06,0,positif,en,"the application is good for finding jobs but there are some features missing such as english translation, because not everyone who wants to work can speak english fluently. but the application is very helpful.",the application is good for finding jobs but there are some features missing such as english translation because not everyone who wants to work can speak english fluently but the application is very helpful,"['the', 'application', 'is', 'good', 'for', 'finding', 'jobs', 'but', 'there', 'are', 'some', 'features', 'missing', 'such', 'as', 'english', 'translation', 'because', 'not', 'everyone', 'who', 'wants', 'to', 'work', 'can', 'speak', 'english', 'fluently', 'but', 'the', 'application', 'is', 'very', 'helpful']","['application', 'good', 'finding', 'jobs', 'features', 'missing', 'english', 'translation', 'everyone', 'wants', 'work', 'speak', 'english', 'fluently', 'application', 'helpful']","['applic', 'good', 'find', 'job', 'featur', 'miss', 'english', 'translat', 'everyon', 'want', 'work', 'speak', 'english', 'fluentli', 'applic', 'help']",applic good find job featur miss english translat everyon want work speak english fluentli applic help
Muhammad Hisyam B,gak bisa login. padahal email dan katasandi sudah benar,1,2026-03-15 05:40:21,10,negatif,id,gak bisa login. padahal email dan katasandi sudah benar,gak bisa login padahal email dan katasandi sudah benar,"['gak', 'bisa', 'login', 'padahal', 'email', 'dan', 'katasandi', 'sudah', 'benar']","['gak', 'login', 'email', 'katasandi']","['gak', 'login', 'email', 'katasandi']",gak login email katasandi
Steve,error application is useless to download,1,2026-03-13 07:18:29,0,negatif,en,error application is useless to download,error application is useless to download,"['error', 'application', 'is', 'useless', 'to', 'download']","['error', 'application', 'useless', 'download']","['error', 'applic', 'useless', 'download']",error applic useless download
moch ismar Daffa,"saya belum bisa menggunakan aplikasi ini, karena harus membeli Connect dulu untuk bisa melakukan apply ke lamaran pekerjaan.",2,2026-03-12 22:50:53,8,negatif,id,"saya belum bisa menggunakan aplikasi ini, karena harus membeli connect dulu untuk bisa melakukan apply ke lamaran pekerjaan.",saya belum bisa menggunakan aplikasi ini karena harus membeli connect dulu untuk bisa melakukan apply ke lamaran pekerjaan,"['saya', 'belum', 'bisa', 'menggunakan', 'aplikasi', 'ini', 'karena', 'harus', 'membeli', 'connect', 'dulu', 'untuk', 'bisa', 'melakukan', 'apply', 'ke', 'lamaran', 'pekerjaan']","['aplikasi', 'membeli', 'connect', 'apply', 'lamaran', 'pekerjaan']","['aplikasi', 'beli', 'connect', 'apply', 'lamar', 'kerja']",aplikasi beli connect apply lamar kerja
